The Shawshank Redemption,1994
The Godfather,1972
The Godfather: Part II,1974
The Dark Knight,2008
Pulp Fiction,1994
Schindler's List,1993
One Flew Over the Cuckoo's Nest,1975
Star Wars: Episode V - The Empire Strikes Back,1980
12 Angry Men,1957
Casablanca,1942
Star Wars,1977
Shichinin no samurai,1954
The Lord of the Rings: The Return of the King,2003
Goodfellas,1990
Rear Window,1954
Raiders of the Lost Ark,1981
Cidade de Deus,2002
C'era una volta il West,1968
The Lord of the Rings: The Fellowship of the Ring,2001
The Usual Suspects,1995
Psycho,1960
Fight Club,1999
The Silence of the Lambs,1991
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Sunset Blvd.,1950
North by Northwest,1959
Memento,2000
Citizen Kane,1941
The Matrix,1999
The Lord of the Rings: The Two Towers,2002
It's a Wonderful Life,1946
Se7en,1995
WALLE,2008
